name,capital,p_tax_rate,sector,radius,x,y
E*TRADE Financial Corporation,2890,7,Financials,1.827796488,109.4056822,172.1682775
Corning Inc.,19663,8,Information technology,4.767643863,154.5522408,185.8151398
Valero Energy Corporation,23339,8,Energy,5.194216399,137.4772666,193.6561964
American Tower Corporation,31253,8,Financials,6.010696133,165.8402618,189.1093012
Starwood Hotels & Resorts Worldwide Inc.,12007,8,Consumer products,3.725599549,147.5575616,178.5591036
Host Hotels & Resorts Inc.,12841,8,Financials,3.852816632,155.8254883,176.2870784
Verizon Communications Inc.,141285,9,Telecom,12.77988498,153.1699142,204.3068011
Delphi Automotive PLC,13397,9,Consumer products,3.935343949,144.9070869,186.7870898
Lincoln National Corporation,8472,9,Insurance,3.129477912,149.8102798,171.0396863
Molson Coors Brewing Company,9170,9,Consumer products,3.255843977,157.931372,168.462944
FMC Corp.,7854,9,Materials,3.01317507,141.5244509,173.7171389
Xerox Corporation,10574,10,Information technology,3.496218529,188.3750182,209.6413995
Ameren Corporation,8512,10,Utilities,3.136857026,172.0796683,201.0364341
Waters Corp.,7968,10,Health care,3.03496425,182.4301508,192.664421
AGL Resources Inc.,5019,10,Utilities,2.408726635,180.0071994,186.7284165
"Citrix Systems, Inc.",12699,10,Information technology,3.831454554,178.1477413,218.6930434
International Paper Company,20919,11,Materials,4.91755671,179.5734608,206.3138409
Garmin Ltd.,6603,11,Consumer products,2.762800753,184.5233428,182.5416798
Lam Research Corporation,6697,11,Information technology,2.782396809,176.3474173,195.6418411
Teradata Corporation,8798,11,Information technology,3.189120255,185.2973735,199.2487365
"Integrys Energy Group, Inc.",4661,11,Utilities,2.32123157,175.1307512,189.6789657
Edwards Lifesciences Corp.,9267,11,Health care,3.27301879,170.6058911,208.2764198
"The PNC Financial Services Group, Inc.",34914,12,Financials,6.352998032,202.4378744,216.9468429
Southern Company,41267,12,Utilities,6.906855435,209.3580387,234.9053171
Marathon Petroleum Corporation,27580,12,Energy,5.646457296,221.6863401,196.4179094
EMC Corporation,48586,12,Information technology,7.494358945,209.8748549,204.1412963
"EOG Resources, Inc.",34502,12,Energy,6.315402758,195.5021911,201.5374476
FirstEnergy Corp.,18569,12,Utilities,4.633116014,201.4149334,191.2625913
McKesson Corporation,24905,12,Health care,5.365648144,190.9778575,188.9515634
PPL Corporation,18462,12,Utilities,4.619748045,205.3382249,181.7887009
Sempra Energy,20001,12,Utilities,4.808446319,211.7305567,190.9270013
Frontier Communications Corporation,4070,12,Telecom,2.169082755,202.8025382,164.9644421
Baxter International Inc.,38097,13,Health care,6.636273955,215.7633838,221.8496277
Edison International,16607,13,Utilities,4.381517089,195.6942221,179.3276743
Agilent Technologies Inc.,14463,13,Health care,4.08891526,204.4706889,172.0233331
NiSource Inc.,9392,13,Utilities,3.295019272,196.211064,170.6728939
"Akamai Technologies, Inc.",6155,13,Information technology,2.667429474,208.523991,163.8188706
"VeriSign, Inc.",7041,13,Information technology,2.852962671,212.4679921,158.6281673
Apple Inc.,400236,14,Information technology,21.50983068,245.6733375,210.0044521
CSX Corp.,24466,14,Industrials,5.318147798,258.3981759,133.3374707
Windstream Corporation,4979,14,Telecom,2.399109001,243.3244233,130.9561539
SCANA Corp.,7246,14,Utilities,2.894196953,227.3204346,142.6043628
"First Solar, Inc.",2357,14,Information technology,1.650664109,231.6158657,137.6505467
International Business Machines Corporation,233289,15,Information technology,16.422,225.8947536,173.9245415
The Coca-Cola Company,182102,15,Consumer products,14.50895971,244.6609768,148.6461793
Spectra Energy Corp.,20289,15,Energy,4.842941668,224.4609735,151.1479206
"Helmerich & Payne, Inc.",6536,15,Energy,2.748748079,253.1044972,126.0722332
Northeast Utilities,13787,15,Utilities,3.992213922,264.1033688,124.8546107
"Autodesk, Inc.",8583,15,Information technology,3.14991238,236.2987369,132.1521123
MeadWestvaco Corporation,6419,15,Materials,2.724034508,249.4568556,131.4164754
General Electric Company,239776,16,Industrials,16.64875539,280.2035265,246.95039
Amgen Inc.,78660,16,Pharma,9.535772648,280.4233276,219.8111677
Bristol-Myers Squibb Company,66915,16,Pharma,8.795097498,275.0846761,200.788693
Danaher Corp.,42076,16,Industrials,6.974227986,299.9223147,164.7420052
The Allstate Corporation,23925,16,Insurance,5.259020821,293.130116,140.4605906
Air Products & Chemicals Inc.,17783,16,Materials,4.533999118,299.3801064,128.8047965
"Williams Companies, Inc.",25392,16,Energy,5.417854926,264.4602258,154.3351345
Eaton Corporation plc,28514,16,Industrials,5.741270243,286.9021943,152.6186736
BMC Software Inc.,6351,16,Information technology,2.709567493,284.4984798,126.753718
"Airgas, Inc.",7355,16,Materials,2.915884085,291.0781967,127.5280402
CareFusion Corporation,7678,16,Health care,2.979222717,275.2289428,140.6091608
Cablevision Systems Corporation,3826,16,Consumer products,2.103058725,278.8970288,128.2682765
Google Inc.,255440,17,Information technology,17.18396462,276.6959307,174.2124673
Exelon Corporation,30312,17,Utilities,5.919516196,253.6470475,167.8440137
Dell Inc.,24832,17,Information technology,5.357778644,304.3473659,138.3902328
Phillips 66,39455,17,Energy,6.753516121,252.952103,181.4885626
ACE Limited,30619,17,Insurance,5.949417114,299.2826765,150.9263613
H. J. Heinz Company,23219,17,Consumer products,5.180845877,265.6489759,142.8862794
Noble Corp.,9565,17,Energy,3.325227812,286.8536773,133.3265399
"Ameriprise Financial, Inc.",14662,17,Financials,4.116949356,282.9992744,142.5045108
Principal Financial Group Inc.,9873,17,Insurance,3.378341013,268.0015308,133.6422862
United States Steel Corp.,2486,17,Materials,1.695233317,273.6115052,135.2280802
Southwest Airlines Co.,9337,17,Industrials,3.28535721,279.5002031,134.6777585
Allegheny Technologies Inc.,3214,17,Materials,1.927533138,274.5122029,130.7084896
"salesforce.com, inc",24436,17,Information technology,5.314886264,275.2684903,149.8412709
Abbott Laboratories,57408,18,Health care,8.146388648,299.3290835,220.0393933
"The Travelers Companies, Inc.",32024,18,Insurance,6.084385261,319.3605894,184.9517912
"MetLife, Inc.",39913,18,Insurance,6.792600975,307.4087531,190.6603651
State Street Corporation,26415,18,Financials,5.525915309,299.532341,180.0032687
Forest Laboratories Inc.,9983,18,Pharma,3.397108771,320.3742121,151.9118784
Ensco plc,13677,18,Energy,3.976256028,311.3298003,167.9563138
Adobe Systems Inc.,21980,18,Information technology,5.04072217,310.6229299,177.3175813
"CenturyLink, Inc.",22630,18,Telecom,5.114712113,320.6197722,171.5858071
"Darden Restaurants, Inc.",6478,18,Consumer products,2.736524803,316.8981478,145.9608804
Hospira Inc.,5057,18,Pharma,2.417827951,307.7810128,147.3803165
Hewlett-Packard Company,42632,19,Information technology,7.020156124,290.9188001,205.9318813
QUALCOMM Incorporated,113156,19,Information technology,11.4371472,324.6445937,202.6557049
Eli Lilly and Company,62141,19,Pharma,8.475552843,313.3893952,230.6446528
E. I. du Pont de Nemours and Company,44851,19,Materials,7.200538591,305.5784506,205.1957978
Raytheon Co.,19010,19,Industrials,4.687809723,315.5562961,159.6627634
eBay Inc.,72362,19,Information technology,9.146063197,306.8627268,248.3760598
priceline.com Incorporated,34737,19,Retailers,6.336873993,293.5178619,191.9066524
CONSOL Energy Inc.,7595,19,Energy,2.963076104,307.5858781,156.5017958
"Juniper Networks, Inc.",9083,19,Information technology,3.240362325,312.8274991,151.5751455
"The Interpublic Group of Companies, Inc.",5526,19,Consumer products,2.527460385,311.7467876,142.9982143
DR Horton Inc.,7545,19,Consumer products,2.953306621,320.4543979,140.6937165
Schlumberger Limited,99773,20,Energy,10.73953388,338.0298848,224.9767333
Union Pacific Corporation,65395,20,Industrials,8.694631677,344.8711115,206.1323223
"Medtronic, Inc.",47020,20,Health care,7.372592488,328.0197749,160.3630853
"Prudential Financial, Inc.",26071,20,Insurance,5.489815662,354.6948374,146.3529026
Cognizant Technology Solutions Corporation,22562,20,Information technology,5.107021833,362.9594158,137.4446517
"Mattel, Inc.",14805,20,Consumer products,4.136977157,326.1152511,135.1774242
Peabody Energy Corp.,5484,20,Energy,2.517837167,349.70244,121.848581
"Analog Devices, Inc.",13463,20,Information technology,3.945025729,353.2373097,135.8920169
Hasbro Inc.,5568,20,Consumer products,2.537047102,356.0969154,123.0877794
Dun & Bradstreet Corp.,3352,20,Industrials,1.968479616,339.9057412,122.7700941
Teradyne Inc.,2965,20,Information technology,1.851361661,335.4736049,124.5243629
Johnson & Johnson,226868,21,Pharma,16.19442521,341.2441739,179.6625956
"Cisco Systems, Inc.",109679,21,Information technology,11.26005879,328.0343431,245.6247083
"Pepsico, Inc.",124140,21,Consumer products,11.97939231,352.1787874,246.2025717
U.S. Bancorp,62798,21,Financials,8.520239903,359.8643301,196.6194768
Caterpillar Inc.,55148,21,Industrials,7.984427844,341.912223,153.2389866
Norfolk Southern Corp.,23700,21,Industrials,5.234233468,336.1999503,136.5674961
Praxair Inc.,32988,21,Materials,6.175283637,366.2895683,149.6166537
"Yum! Brands, Inc.",30290,21,Consumer products,5.917367658,328.8567508,146.094126
Omnicom Group Inc.,15543,21,Consumer products,4.23883333,345.6687265,140.7742306
The Western Union Company,8219,21,Information technology,3.082395821,351.8021042,128.087828
Rockwell Collins Inc.,8616,21,Industrials,3.155961977,358.9132979,129.1558803
"Joy Global, Inc.",6036,21,Industrials,2.641517746,339.3886042,128.3270149
Torchmark Corp.,5450,21,Insurance,2.51001992,344.745055,125.2354235
Celgene Corporation,48876,21,Pharma,7.516691826,356.5177663,160.3807846
Whirlpool Corp.,8995,21,Consumer products,3.22462711,331.064057,128.638191
DENTSPLY International Inc.,5886,21,Health care,2.608489218,324.2853426,127.7084827
Perrigo Co.,11156,21,Pharma,3.591146892,345.4222346,132.2547665
Microsoft Corporation,239477,22,Information technology,16.63837168,381.7030671,248.7990769
Wells Fargo & Company,195238,22,Financials,15.02315306,364.4462463,221.0914474
Honeywell International Inc.,57554,22,Industrials,8.156741016,365.2215887,179.8989699
The Mosaic Company,25085,22,Materials,5.38500325,382.2608892,160.0565913
Loews Corporation,17171,22,Insurance,4.455297521,395.1059224,135.406555
"Noble Energy, Inc.",20649,22,Energy,4.885718371,388.7270136,145.6115505
St. Jude Medical Inc.,11873,22,Health care,3.704752083,371.8385124,140.5481395
The Sherwin-Williams Company,17135,22,Materials,4.450624675,380.4791484,139.6715585
Amphenol Corporation,11664,22,Information technology,3.672,386.5874146,133.1892987
"Intuitive Surgical, Inc.",19950,22,Health care,4.802311943,378.2528425,149.6481379
"PulteGroup, Inc.",7644,22,Consumer products,2.972619047,373.8543005,125.7356864
Berkshire Hathaway Inc.,259564,23,Financials,17.32212412,385.2946598,195.9765113
Lockheed Martin Corporation,30435,23,Industrials,5.931514141,370.3788828,161.9158923
Kimberly-Clark Corporation,38468,23,Consumer products,6.668508679,378.3992073,172.1629077
FedEx Corporation,30182,23,Industrials,5.906808952,393.3987701,156.3033332
Coca-Cola Enterprises Inc.,10155,23,Consumer products,3.426248677,378.9182413,131.0104066
KLA-Tencor Corporation,8638,23,Information technology,3.159988608,384.9777997,125.720792
"McCormick & Company, Incorporated",9375,23,Consumer products,3.292035844,372.0697131,132.7363941
Newell Rubbermaid Inc.,7234,23,Consumer products,2.89179944,366.1772868,128.6634046
"Stericycle, Inc.",9050,23,Industrials,3.23447059,392.2843468,127.2801231
Oracle Corporation,152437,24,Information technology,13.27468162,414.3598066,195.0924687
United Technologies Corp.,86050,24,Industrials,9.973655298,405.9525003,235.8017598
American Express Company,72290,24,Financials,9.14151191,425.979255,233.6867942
Gilead Sciences Inc.,71932,24,Pharma,9.118848173,403.074766,216.3297883
Monsanto Company,56160,24,Materials,8.057354405,420.9715704,216.3299171
Cummins Inc.,21408,24,Industrials,4.974700795,412.1678303,160.2282657
"Becton, Dickinson and Company",18516,24,Health care,4.626499325,404.0895941,153.6212044
L-3 Communications Holdings Inc.,7381,24,Industrials,2.921033379,416.0650966,127.7524624
PACCAR Inc.,17049,24,Industrials,4.439441857,424.4167839,156.4666395
Parker-Hannifin Corporation,13409,24,Industrials,3.937106044,398.2738252,145.9828288
Aon plc,18735,24,Insurance,4.653779109,420.5448935,165.6775238
Dover Corporation,12741,24,Industrials,3.837785299,406.878064,144.8120231
"H&R Block, Inc.",7715,24,Consumer products,2.986392473,409.1989141,137.3157724
Eastman Chemical Co.,10520,24,Materials,3.487279742,414.6368766,142.0905719
Flowserve Corp.,7771,24,Industrials,2.997211371,415.6480932,134.700021
Tesoro Corporation,7416,24,Energy,2.927950819,399.4336657,128.214912
Linear Technology Corporation,8342,24,Information technology,3.105374696,402.3782931,138.626776
"Marriott International, Inc.",12948,24,Consumer products,3.868835484,421.1185172,147.7881191
"FMC Technologies, Inc.",12534,24,Energy,3.80648184,422.1310387,138.8998244
Xylem Inc.,5186,24,Industrials,2.448472177,404.1283471,132.4993857
Comcast Corporation,108363,25,Consumer products,11.19230218,416.0500945,255.4160151
DIRECTV,31807,25,Consumer products,6.063735812,430.7492122,184.2800139
Texas Instruments Inc.,38808,25,Information technology,6.697913705,391.5356279,170.1500157
AFLAC Inc.,23183,25,Insurance,5.176827986,402.2966751,163.9580266
The Chubb Corporation,23062,25,Insurance,5.163300495,420.5103903,176.8749766
"General Mills, Inc.",31395,25,Consumer products,6.024335648,402.1864167,178.6333548
DaVita HealthCare Partners Inc.,13267,25,Health care,3.916203774,428.4709527,144.6861733
Ecolab Inc.,23661,25,Materials,5.229925047,411.1933817,170.9211863
Cincinnati Financial Corp.,7804,25,Insurance,3.003568544,421.9085213,131.2347643
Ball Corporation,7038,25,Materials,2.852354817,410.3225372,124.3223204
Cerner Corporation,16088,25,Health care,4.312508319,413.2849819,150.6851698
International Flavors & Fragrances Inc.,6027,25,Materials,2.639547689,409.9480292,130.7808232
Procter & Gamble Co.,215227,26,Consumer products,15.77347178,452.7624846,182.3864801
"AT&T, Inc.",206594,26,Telecom,15.45388831,443.636668,256.0474443
Time Warner Inc.,54545,26,Consumer products,7.940656144,444.115455,160.1024481
Cigna Corp.,18722,26,Health care,4.652164228,464.5090993,136.9037049
Precision Castparts Corp.,26794,26,Industrials,5.565416786,443.0194202,145.9836955
"Diamond Offshore Drilling, Inc.",9580,26,Energy,3.32783413,451.3479505,127.2720849
M&T Bank Corporation,13014,26,Financials,3.878683282,429.4093824,133.1882288
V.F. Corporation,18862,26,Consumer products,4.669525886,433.3675085,152.1785115
AmerisourceBergen Corporation,12191,26,Health care,3.754037293,437.8667173,131.5401032
Invesco Ltd.,12681,26,Financials,3.828738173,460.8831774,126.2826333
Cameron International Corporation,15476,26,Energy,4.229687459,435.7544009,139.6646587
Sigma-Aldrich Corporation,9129,26,Materials,3.248557218,426.7834714,125.5878832
"Varian Medical Systems, Inc.",7714,26,Health care,2.986198922,455.1068667,121.0498294
"Netflix, Inc.",9130,26,Retailers,3.248735138,443.9025396,126.5372925
"Philip Morris International, Inc.",155089,27,Consumer products,13.38965586,448.4258738,226.6830253
McDonald's Corp.,101783,27,Consumer products,10.84717235,437.0346081,204.8202609
Accenture plc,49763,27,Information technology,7.584591485,432.01656,169.9238361
Archer Daniels Midland Company,21951,27,Consumer products,5.037395756,446.6555302,135.3792851
Nike Inc.,53572,27,Consumer products,7.869512818,459.995207,158.1412883
Covidien plc,31698,27,Health care,6.053336931,455.1360709,144.098705
"Zimmer Holdings, Inc.",12421,27,Health care,3.789284365,456.1707599,133.3364516
GameStop Corp.,3566,27,Retailers,2.030343813,432.780917,127.1484935
Snap-on Inc.,4819,27,Industrials,2.360246597,437.6493198,124.4971079
"Fossil, Inc.",5574,27,Consumer products,2.538413678,448.0861172,121.2218426
Intel Corporation,104416,28,Information technology,10.98657799,469.0407385,241.234449
Merck & Co. Inc.,137457,28,Pharma,12.60556591,490.8948508,252.3561889
3M Company,73048,28,Industrials,9.189313794,482.5439394,224.9950173
Halliburton Company,35759,28,Energy,6.429417081,483.1837557,205.424191
Deere & Company,33689,28,Industrials,6.240551578,495.9340625,165.8893477
Franklin Resources Inc.,31767,28,Financials,6.059921782,471.4970339,165.726647
Anadarko Petroleum Corporation,43985,28,Energy,7.130684399,469.642764,213.515537
Yahoo! Inc.,25858,28,Information technology,5.467343779,483.1618385,161.4803542
Kellogg Company,23301,28,Consumer products,5.189986127,492.0944069,154.1601711
Starbucks Corporation,43549,28,Consumer products,7.095255034,496.6516113,216.0082828
PPG Industries Inc.,18777,28,Materials,4.658992595,505.7415495,135.8362705
Northern Trust Corporation,13053,28,Financials,3.8844907,474.6219282,144.9647121
"Thermo Fisher Scientific, Inc.",28016,28,Health care,5.690913459,500.1136104,145.58451
Unum Group,7075,28,Insurance,2.859842653,485.6119734,126.7408874
Rockwell Automation Inc.,12176,28,Industrials,3.751727069,488.2184261,133.7913563
CR Bard Inc.,8251,28,Health care,3.088390519,490.1709517,121.5414986
Pitney Bowes Inc.,2966,28,Industrials,1.851673837,474.0418757,130.0868243
O'Reilly Automotive Inc.,11569,28,Retailers,3.657015723,473.6426534,136.4688907
Roper Industries Inc.,12194,28,Industrials,3.754499168,496.3431731,136.0899905
BorgWarner Inc.,8425,28,Consumer products,3.120785158,468.1991827,129.0746505
JPMorgan Chase & Co.,184773,29,Financials,14.61497821,483.3685489,183.3120117
Public Service Enterprise Group Inc.,17476,29,Utilities,4.494691981,466.041129,146.6914336
"BlackRock, Inc.",42698,29,Financials,7.025588089,455.8758038,206.1040056
"Waste Management, Inc.",18052,29,Industrials,4.568162869,482.3082167,150.3402286
"Applied Materials, Inc.",16057,29,Information technology,4.308351425,489.9425449,144.1055187
Intuit Inc.,18921,29,Information technology,4.676823281,472.9379135,154.2545813
LyondellBasell Industries NV,33833,29,Materials,6.253874639,468.4589632,199.2236815
Ralph Lauren Corporation,15385,29,Consumer products,4.21723369,481.6888231,139.8132972
"IntercontinentalExchange, Inc.",11349,29,Financials,3.622077305,494.2432779,128.0634763
"Quanta Services, Inc.",5967,29,Industrials,2.626376211,476.6512983,125.2849147
"Chipotle Mexican Grill, Inc.",10444,29,Consumer products,3.474660271,480.0762414,131.4771892
Colgate-Palmolive Co.,54989,30,Consumer products,7.972909381,497.4788987,200.1996447
"CF Industries Holdings, Inc.",11498,30,Materials,3.645776735,505.9687542,161.8281737
"Staples, Inc.",8929,30,Retailers,3.212775124,517.2945485,157.9695956
Campbell Soup Company,14197,30,Consumer products,4.051139593,523.4046081,162.9316344
Textron Inc.,7889,30,Industrials,3.019881455,515.6833691,151.145685
Wyndham Worldwide Corporation,8659,30,Consumer products,3.163827429,521.7867421,147.4549924
"Bemis Company, Inc.",4156,30,Materials,2.191879559,513.3758046,145.4284161
"F5 Networks, Inc.",5719,30,Information technology,2.571218388,524.0881242,141.2024715
PVH Corp.,8759,30,Consumer products,3.182043997,510.4587408,155.9692592
Lennar Corp.,7494,30,Consumer products,2.943308343,508.7867931,149.2995336
Wal-Mart Stores Inc.,254473,31,Retailers,17.15140776,521.1753076,210.2254491
Capital One Financial Corp.,31996,31,Financials,6.081724755,529.837474,180.570935
Aetna Inc.,17797,31,Health care,4.535783505,522.1254512,172.1835058
Illinois Tool Works Inc.,27946,31,Industrials,5.683799433,518.4910718,186.1216336
Mastercard Incorporated,65605,31,Information technology,8.708580826,503.9531556,230.8177882
Stryker Corporation,24656,31,Health care,5.338757908,508.1726715,190.8806008
"Discovery Communications, Inc.",28071,31,Consumer products,5.696496818,503.5106058,180.3329333
Fluor Corporation,10169,31,Industrials,3.428609631,501.477075,155.4923598
Brown-Forman Corporation,15070,31,Consumer products,4.173837563,506.5066561,170.2117345
"SunTrust Banks, Inc.",15330,31,Financials,4.209688825,514.7712061,165.9495827
Mead Johnson Nutrition Company,15517,31,Consumer products,4.235286531,513.5285616,176.4325549
"NYSE Euronext, Inc.",9121,31,Financials,3.247133505,523.5951035,154.5350935
"FLIR Systems, Inc.",3709,31,Information technology,2.070653037,508.5588225,143.349166
"Leggett & Platt, Incorporated",4745,31,Consumer products,2.342054654,517.8565963,142.2902856
"The Goldman Sachs Group, Inc.",69111,32,Financials,8.938250164,541.0449508,255.1114204
The Walt Disney Company,106196,32,Consumer products,11.07982744,546.5948136,175.8814325
Emerson Electric Co.,40429,32,Industrials,6.836367749,544.8248188,217.3360824
General Dynamics Corp.,24456,32,Industrials,5.317060842,537.1583518,190.4347295
Discover Financial Services,21654,32,Financials,5.003201375,531.7760151,168.3963997
Biogen Idec Inc.,45875,32,Pharma,7.282272997,558.1686685,224.1436473
"Cardinal Health, Inc.",14579,32,Health care,4.105280015,563.9070652,153.2490506
Nucor Corporation,13963,32,Materials,4.017614715,554.8689156,153.4410748
Johnson Controls Inc.,22781,32,Consumer products,5.13174785,563.1998788,172.5209967
"AutoZone, Inc.",14265,32,Retailers,4.060829964,548.4262919,159.7135366
Quest Diagnostics Inc.,9005,32,Health care,3.226419068,554.6671869,139.5908585
"Harley-Davidson, Inc.",11532,32,Consumer products,3.651163102,546.3196669,151.2872373
The Estée Lauder Companies Inc.,24896,32,Consumer products,5.364678555,561.8306017,183.6615648
Family Dollar Stores Inc.,6878,32,Consumer products,2.819746088,551.9397595,146.2288424
Nabors Industries Ltd.,4595,32,Energy,2.304738597,530.1988477,142.3081839
"Stanley Black & Decker, Inc.",12567,32,Industrials,3.811489473,529.7771515,149.3939123
The Washington Post Company,3258,32,Consumer products,1.940682354,539.3234522,139.0995823
People's United Financial Inc.,4363,32,Financials,2.245802307,549.030545,136.4934776
Occidental Petroleum Corporation,65354,33,Energy,8.69190566,549.3742157,238.5354934
WellPoint Inc.,20444,33,Health care,4.861405558,557.6884433,162.9813803
Target Corp.,44422,33,Consumer products,7.166019258,555.8900805,207.3781971
Walgreen Co.,45157,33,Retailers,7.22506,534.1988559,231.664884
"Viacom, Inc.",32442,33,Consumer products,6.123965382,543.1926251,201.0524276
"The TJX Companies, Inc.",34603,33,Retailers,6.324639753,553.5292138,193.001147
"Coach, Inc.",14039,33,Consumer products,4.028533728,530.918347,158.0710329
"J. C. Penney Company, Inc.",3488,33,Retailers,2.008015936,544.1117197,138.2905038
Moody's Corp.,11803,33,Financials,3.69381483,559.4145848,145.7954435
"Paychex, Inc.",12758,33,Information technology,3.840344776,537.9327592,152.6024113
"Scripps Networks Interactive, Inc.",9925,33,Consumer products,3.387226004,536.4499348,144.652898
Cliffs Natural Resources Inc.,2998,33,Materials,1.86163584,534.5152176,138.7484271
"The Nasdaq OMX Group, Inc.",4805,33,Financials,2.356815648,543.1843178,145.0434646
Dollar General Corporation,16479,33,Consumer products,4.364598951,539.509186,161.5674924
Rowan Companies plc,4153,33,Energy,2.191088314,547.7789875,141.9394176
UnitedHealth Group Incorporated,63433,34,Health care,8.563208978,579.2079107,196.5079775
Costco Wholesale Corporation,46709,34,Retailers,7.348170112,577.4823345,222.2527793
Kohl's Corp.,10661,34,Retailers,3.510572033,577.5395917,175.4214867
Murphy Oil Corporation,12145,34,Energy,3.746948091,576.9447181,183.5886609
The Kroger Co.,16605,34,Retailers,4.381253245,575.4690798,209.7623628
Progressive Corp.,15460,34,Insurance,4.227500444,567.4079153,203.5021654
"T. Rowe Price Group, Inc.",19197,34,Financials,4.710810121,585.2135081,211.5866405
"L Brands, Inc.",13513,34,Retailers,3.952344621,564.6669566,194.6216434
Laboratory Corp. of America Holdings,8635,34,Health care,3.159439824,587.90153,169.0655689
Harris Corporation,5049,34,Information technology,2.415914734,581.2525162,149.4755111
CH Robinson Worldwide Inc.,9523,34,Industrials,3.317919227,579.3240425,167.8018693
Hormel Foods Corporation,10674,34,Consumer products,3.512711773,593.7326671,186.732676
Jacobs Engineering Group Inc.,7036,34,Industrials,2.851949509,566.1081311,164.4080069
The J. M. Smucker Company,10543,34,Consumer products,3.491089801,570.3818537,178.82806
"Patterson Companies, Inc.",3961,34,Health care,2.139840181,568.1334466,158.9156934
Pall Corporation,7439,34,Industrials,2.932487681,572.5825422,163.0382957
TripAdvisor Inc.,6957,34,Retailers,2.83589351,584.8196985,162.845331
Reynolds American Inc.,24706,35,Consumer products,5.344168411,594.33068,217.7179339
The AES Corporation,9389,35,Utilities,3.294492981,572.079104,170.0679307
Express Scripts Holding Company,46959,35,Health care,7.367808629,574.9666586,237.738357
